1652555854.095747 client started (38791): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1652555854.095799 on Darwin 21.4.0 Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101
1652555854.096109 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1652555854.100120 sending message 105 to peer 0x128048000 (36 bytes)
1652555854.100124 sending message 105 to peer 0x128048000 (14 bytes)
1652555854.100129 sending message 105 to peer 0x128048000 (30 bytes)
1652555854.100134 sending message 105 to peer 0x128048000 (15 bytes)
1652555854.100139 sending message 105 to peer 0x128048000 (43 bytes)
1652555854.100144 sending message 105 to peer 0x128048000 (15 bytes)
1652555854.100150 sending message 105 to peer 0x128048000 (28 bytes)
1652555854.100156 sending message 105 to peer 0x128048000 (23 bytes)
1652555854.100160 sending message 105 to peer 0x128048000 (283 bytes)
1652555854.100165 sending message 105 to peer 0x128048000 (19 bytes)
1652555854.100170 sending message 105 to peer 0x128048000 (20 bytes)
1652555854.100175 sending message 105 to peer 0x128048000 (22 bytes)
1652555854.100180 sending message 105 to peer 0x128048000 (20 bytes)
1652555854.100185 sending message 105 to peer 0x128048000 (18 bytes)
1652555854.100204 sending message 105 to peer 0x128048000 (57 bytes)
1652555854.100209 sending message 105 to peer 0x128048000 (9 bytes)
1652555854.100213 sending message 105 to peer 0x128048000 (19 bytes)
1652555854.100218 sending message 105 to peer 0x128048000 (12 bytes)
1652555854.100223 sending message 105 to peer 0x128048000 (61 bytes)
1652555854.100228 sending message 105 to peer 0x128048000 (38 bytes)
1652555854.100233 sending message 105 to peer 0x128048000 (8 bytes)
1652555854.100238 sending message 105 to peer 0x128048000 (28 bytes)
1652555854.100243 sending message 105 to peer 0x128048000 (26 bytes)
1652555854.100249 sending message 105 to peer 0x128048000 (11 bytes)
1652555854.100254 sending message 105 to peer 0x128048000 (23 bytes)
1652555854.100260 sending message 105 to peer 0x128048000 (30 bytes)
1652555854.100265 sending message 105 to peer 0x128048000 (37 bytes)
1652555854.100271 sending message 105 to peer 0x128048000 (34 bytes)
1652555854.100275 sending message 105 to peer 0x128048000 (85 bytes)
1652555854.100278 sending message 105 to peer 0x128048000 (35 bytes)
1652555854.100285 sending message 105 to peer 0x128048000 (14 bytes)
1652555854.100291 sending message 105 to peer 0x128048000 (14 bytes)
1652555854.100295 sending message 105 to peer 0x128048000 (12 bytes)
1652555854.100302 sending message 105 to peer 0x128048000 (19 bytes)
1652555854.100309 sending message 105 to peer 0x128048000 (28 bytes)
1652555854.100315 sending message 105 to peer 0x128048000 (26 bytes)
1652555854.100320 sending message 105 to peer 0x128048000 (16 bytes)
1652555854.100325 sending message 105 to peer 0x128048000 (53 bytes)
1652555854.100330 sending message 105 to peer 0x128048000 (11 bytes)
1652555854.100335 sending message 105 to peer 0x128048000 (8 bytes)
1652555854.100340 sending message 105 to peer 0x128048000 (32 bytes)
1652555854.100345 sending message 105 to peer 0x128048000 (10 bytes)
1652555854.100350 sending message 105 to peer 0x128048000 (12 bytes)
1652555854.100355 sending message 105 to peer 0x128048000 (25 bytes)
1652555854.100360 sending message 106 to peer 0x128048000 (0 bytes)
1652555854.100372 sending message 200 to peer 0x128048000 (4 bytes)
1652555854.100377 client loop enter
1652555854.100445 client_signal: Child exited: 20
1652555854.190252 peer 0x128048000 message 207
1652555854.190262 sending message 208 to peer 0x128048000 (0 bytes)
1652555856.759441 peer 0x128048000 message 203
1652555856.759452 sending message 205 to peer 0x128048000 (0 bytes)
1652555856.759582 peer 0x128048000 message 204
1652555856.759588 client loop exit
